sitename,county,aqi,pollutant,status,so2,co,o3,o3_8hr,pm10,pm2.5,no2,nox,no,wind_speed,wind_direc,publishtime,co_8hr,pm2.5_avg,pm10_avg,so2_avg,longitude,latitude,siteid
基隆,基隆市,58,臭氧八小時,普通,0.6,0.3,49,57.5,27,18,8.6,9,0.4,0.2,336,"2023/05/09 22:00:00",0.2,17,33,0,121.760056,25.129167,1
汐止,新北市,53,細懸浮微粒,普通,1.1,0.28,31.2,47.6,36,17,21.3,22.3,1,0.3,24,"2023/05/09 22:00:00",0.2,16,37,0,121.64081,25.06624,2
萬里,新北市,84,臭氧八小時,普通,0.5,0.16,69.3,65.8,59,10,1.6,2.1,0.4,4.2,50,"2023/05/09 22:00:00",0.1,15,66,0,121.689881,25.179667,3
新店,新北市,46,,良好,0.4,0.24,51.8,50.4,27,13,7.8,8.7,0.9,1.8,137,"2023/05/09 22:00:00",0.2,14,35,0,121.537778,24.977222,4
土城,新北市,52,細懸浮微粒,普通,1.9,0.28,47.8,50.8,30,16,10.1,10.4,0.3,1.4,338,"2023/05/09 22:00:00",0.2,15,36,1,121.451861,24.982528,5
板橋,新北市,57,細懸浮微粒,普通,0.4,0.34,46.3,50.1,25,21,15.5,15.9,0.3,1.1,98,"2023/05/09 22:00:00",0.3,18,32,0,121.458667,25.012972,6
新莊,新北市,56,細懸浮微粒,普通,1.4,0.27,50.8,53,28,15,9.8,10.5,0.7,2.6,75,"2023/05/09 22:00:00",0.2,17,36,0,121.4325,25.037972,7
菜寮,新北市,59,細懸浮微粒,普通,1,0.28,51.5,46.6,22,18,9.4,10.3,0.9,2.2,83,"2023/05/09 22:00:00",0.3,18,28,0,121.481028,25.06895,8
林口,新北市,56,細懸浮微粒,普通,1.1,0.2,54,51.1,26,18,7.4,8,0.5,2.3,60,"2023/05/09 22:00:00",0.2,17,33,0,121.36548982,25.07798949,9
淡水,新北市,56,細懸浮微粒,普通,1.2,0.46,23.8,40.7,29,19,13.8,14.8,0.9,,,"2023/05/09 22:00:00",0.2,17,29,0,121.449239,25.1645,10
士林,臺北市,50,,良好,0.2,0.21,56.5,54,27,11,6.4,6.8,0.4,1.6,44,"2023/05/09 22:00:00",0.2,14,31,0,121.51666356,25.10334003,11
中山,臺北市,55,細懸浮微粒,普通,1.3,0.41,39.7,41.4,29,17,20.3,22.6,2.2,1.8,123,"2023/05/09 22:00:00",0.4,17,35,0,121.526528,25.062361,12
萬華,臺北市,59,細懸浮微粒,普通,1,0.35,41.8,44.8,32,20,19.2,20.3,1,2.8,85,"2023/05/09 22:00:00",0.3,18,35,0,121.507972,25.046503,13
古亭,臺北市,52,細懸浮微粒,普通,,0.24,51.7,51.2,29,17,8.4,9.2,0.8,1.5,56,"2023/05/09 22:00:00",0.2,15,36,0,121.529556,25.020608,14
松山,臺北市,56,細懸浮微粒,普通,1.4,0.35,37.3,44.9,37,19,19.3,20.5,1.1,0.5,57,"2023/05/09 22:00:00",0.2,17,39,0,121.578611,25.05,15
大同,臺北市,60,細懸浮微粒,普通,1.1,0.37,39.4,35.1,28,17,16.8,19.5,2.6,-,-,"2023/05/09 22:00:00",0.4,19,40,0,121.51342074,25.06331455,16
桃園,桃園市,58,細懸浮微粒,普通,1.8,0.32,48,46.7,34,16,12.2,12.7,0.5,2.2,36,"2023/05/09 22:00:00",0.3,18,38,1,121.30500531,24.9947107,17
大園,桃園市,49,,良好,2.4,0.21,48.3,49.5,33,12,13.1,13.7,0.6,2.6,46,"2023/05/09 22:00:00",0.1,15,38,1,121.20251473,25.06100357,18
觀音,桃園市,54,細懸浮微粒,普通,1,0.14,57.6,,41,17,4.8,5.6,0.7,4.3,63,"2023/05/09 22:00:00",0.1,16,41,1,121.08283092,25.03556747,19
平鎮,桃園市,54,細懸浮微粒,普通,1.6,0.32,48.8,47.4,26,15,10.7,12.3,1.5,2.5,55,"2023/05/09 22:00:00",0.3,16,38,1,121.203986,24.952786,20
龍潭,桃園市,55,細懸浮微粒,普通,0.1,0.23,51.6,50.9,32,15,8.4,9.4,1,3.6,45,"2023/05/09 22:00:00",0.2,17,38,0,121.21645772,24.86400048,21
湖口,新竹縣,56,細懸浮微粒,普通,1.5,0.19,49.9,47.4,34,16,6,6.1,0,3.3,51,"2023/05/09 22:00:00",0.2,17,39,1,121.03886894,24.90009696,22
竹東,新竹縣,53,細懸浮微粒,普通,0.5,0.18,49.2,49.3,31,18,5.3,6,0.7,0.7,90,"2023/05/09 22:00:00",0.1,16,34,0,121.08895493,24.74091408,23
新竹,新竹市,54,細懸浮微粒,普通,1.8,0.35,43.4,48,29,18,15.6,16.4,0.7,1.9,40,"2023/05/09 22:00:00",0.3,16,33,1,120.97236752,24.8056356,24
